ticker,shares,avg_cost
AAPL,35.0,312.06
AMD,20.0,516.10
AMZN,10.0,270.64
BYND,2000.0,0.7885
DKNG,10.0,24.49
FSLY,150.0,17.765
HOOD,35.0,94.30
JKS,52.0,23.31
NFLX,60.0,86.02
NIO,40.0,5.60
ROKU,14.0,130.18
RUN,40.0,16.72
RYCEY,800.0,17.95
SHOP,5.0,118.71
SPY,20.0,756.48
TSLA,132.5,435.79
